,score,label,ulasan,CaseFolding,Cleaning,HapusEmoji,Spasi,Tokenizing,Normalized_Words,Stopword Removal,Stemming,dataset_join
11,1,0,Karena live nya gak bis dilihat,karena live nya gak bis dilihat,karena live nya gak bis dilihat,karena live nya gak bis dilihat,karena live nya gak bis dilihat,"['karena', 'live', 'nya', 'gak', 'bis', 'dilihat']","['tidak', 'bisa']","['gak', 'bis']","['tidak', 'bisa']",tidak bisa
12,1,0,Gw hbs berlangganan malah.gk bisa dipakai gunanya ap gw berlangganan klo gk bisa dipke?apk cacat,gw hbs berlangganan malah.gk bisa dipakai gunanya ap gw berlangganan klo gk bisa dipke?apk cacat,gw hbs berlangganan malah gk bisa dipakai gunanya ap gw berlangganan klo gk bisa dipke apk cacat,gw hbs berlangganan malah gk bisa dipakai gunanya ap gw berlangganan klo gk bisa dipke apk cacat,gw hbs berlangganan malah gk bisa dipakai gunanya ap gw berlangganan klo gk bisa dipke apk cacat,"['gw', 'hbs', 'berlangganan', 'malah', 'gk', 'bisa', 'dipakai', 'gunanya', 'ap', 'gw', 'berlangganan', 'klo', 'gk', 'bisa', 'dipke', 'apk', 'cacat']","['saya', 'habis', 'berlangganan', 'tidak', 'dipakai', 'gunanya', 'apa', 'saya', 'berlangganan', 'tidak', 'dipake', 'aplikasi', 'cacat']","['gw', 'hbs', 'berlangganan', 'gk', 'dipakai', 'gunanya', 'ap', 'gw', 'berlangganan', 'gk', 'dipke', 'apk', 'cacat']","['saya', 'habis', 'langgan', 'tidak', 'pakai', 'guna', 'apa', 'saya', 'langgan', 'tidak', 'dipake', 'aplikasi', 'cacat']",saya habis langgan tidak pakai guna apa saya langgan tidak dipake aplikasi cacat
13,1,0,Gak bisa live,gak bisa live,gak bisa live,gak bisa live,gak bisa live,"['gak', 'bisa', 'live']",['tidak'],['gak'],['tidak'],tidak
14,1,0,bosok gak bisa diputar,bosok gak bisa diputar,bosok gak bisa diputar,bosok gak bisa diputar,bosok gak bisa diputar,"['bosok', 'gak', 'bisa', 'diputar']","['busuk', 'tidak', 'diputar']","['bosok', 'gak', 'diputar']","['busuk', 'tidak', 'putar']",busuk tidak putar
15,1,0,Kenapa kalau lihat saluran Net tv itu gak bisa ya mohon di konfirmasi,kenapa kalau lihat saluran net tv itu gak bisa ya mohon di konfirmasi,kenapa kalau lihat saluran net tv itu gak bisa ya mohon di konfirmasi,kenapa kalau lihat saluran net tv itu gak bisa ya mohon di konfirmasi,kenapa kalau lihat saluran net tv itu gak bisa ya mohon di konfirmasi,"['kenapa', 'kalau', 'lihat', 'saluran', 'net', 'tv', 'itu', 'gak', 'bisa', 'ya', 'mohon', 'di', 'konfirmasi']","['lihat', 'saluran', 'tidak', 'mohon', 'konfirmasi']","['lihat', 'saluran', 'gak', 'mohon', 'konfirmasi']","['lihat', 'salur', 'tidak', 'mohon', 'konfirmasi']",lihat salur tidak mohon konfirmasi
16,1,0,pembodohan,pembodohan,pembodohan,pembodohan,pembodohan,['pembodohan'],['pembodohan'],['pembodohan'],['bodoh'],bodoh
17,1,0,Sudah berlangganan tapi tidak menonton siaran. Sangat2 merugikan pelanggan👎👎👎,sudah berlangganan tapi tidak menonton siaran. sangat2 merugikan pelanggan👎👎👎,sudah berlangganan tapi tidak menonton siaran  sangat  merugikan pelanggan👎👎👎,sudah berlangganan tapi tidak menonton siaran  sangat  merugikan pelanggan,sudah berlangganan tapi tidak menonton siaran  sangat  merugikan pelanggan,"['sudah', 'berlangganan', 'tapi', 'tidak', 'menonton', 'siaran', 'sangat', 'merugikan', 'pelanggan']","['berlangganan', 'menonton', 'siaran', 'merugikan', 'pelanggan']","['berlangganan', 'menonton', 'siaran', 'merugikan', 'pelanggan']","['langgan', 'tonton', 'siar', 'rugi', 'langgan']",langgan tonton siar rugi langgan
18,1,0,"Sering putus² gak stabil n harganya mahal pula, boleh mahal tapi kualitasnya harus mengikuti..","sering putus² gak stabil n harganya mahal pula, boleh mahal tapi kualitasnya harus mengikuti..",sering putus² gak stabil n harganya mahal pula  boleh mahal tapi kualitasnya harus mengikuti,sering putus gak stabil n harganya mahal pula  boleh mahal tapi kualitasnya harus mengikuti,sering putus gak stabil n harganya mahal pula  boleh mahal tapi kualitasnya harus mengikuti,"['sering', 'putus', 'gak', 'stabil', 'n', 'harganya', 'mahal', 'pula', 'boleh', 'mahal', 'tapi', 'kualitasnya', 'harus', 'mengikuti']","['putus', 'tidak', 'stabil', 'harganya', 'mahal', 'mahal', 'kualitasnya', 'mengikuti']","['putus', 'gak', 'stabil', 'harganya', 'mahal', 'mahal', 'kualitasnya', 'mengikuti']","['putus', 'tidak', 'stabil', 'harga', 'mahal', 'mahal', 'kualitas', 'ikut']",putus tidak stabil harga mahal mahal kualitas ikut
19,1,0,"Aplikasi ga tau diri, Udah di paket Jaringan bagus,g bisa nonton bola 😠😡😡","aplikasi ga tau diri, udah di paket jaringan bagus,g bisa nonton bola 😠😡😡",aplikasi ga tau diri  udah di paket jaringan bagus g bisa nonton bola 😠😡😡,aplikasi ga tau diri  udah di paket jaringan bagus g bisa nonton bola ,aplikasi ga tau diri  udah di paket jaringan bagus g bisa nonton bola ,"['aplikasi', 'ga', 'tau', 'diri', 'udah', 'di', 'paket', 'jaringan', 'bagus', 'g', 'bisa', 'nonton', 'bola']","['aplikasi', 'tidak', 'tahu', 'udah', 'bagus', 'nonton']","['aplikasi', 'ga', 'tau', 'udah', 'bagus', 'nonton']","['aplikasi', 'tidak', 'tahu', 'udah', 'bagus', 'nonton']",aplikasi tidak tahu udah bagus nonton
20,1,0,Aplikasi paling jelek Jangan download nanti nyesel,aplikasi paling jelek jangan download nanti nyesel,aplikasi paling jelek jangan download nanti nyesel,aplikasi paling jelek jangan download nanti nyesel,aplikasi paling jelek jangan download nanti nyesel,"['aplikasi', 'paling', 'jelek', 'jangan', 'download', 'nanti', 'nyesel']","['aplikasi', 'jelek', 'unduh', 'nyesel']","['aplikasi', 'jelek', 'download', 'nyesel']","['aplikasi', 'jelek', 'unduh', 'nyesel']",aplikasi jelek unduh nyesel
21,1,0,Saya harus membayar dua kali untuk fitur yang sama (in-app purchase+operator seluler),saya harus membayar dua kali untuk fitur yang sama (in-app purchase+operator seluler),saya harus membayar dua kali untuk fitur yang sama  in app purchase operator seluler,saya harus membayar dua kali untuk fitur yang sama  in app purchase operator seluler,saya harus membayar dua kali untuk fitur yang sama  in app purchase operator seluler,"['saya', 'harus', 'membayar', 'dua', 'kali', 'untuk', 'fitur', 'yang', 'sama', 'in', 'app', 'purchase', 'operator', 'seluler']","['membayar', 'fitur', 'aplikasi', 'pembelian', 'operator']","['membayar', 'fitur', 'app', 'purchase', 'operator']","['bayar', 'fitur', 'aplikasi', 'beli', 'operator']",bayar fitur aplikasi beli operator
22,1,0,Banyak iklannya cacat,banyak iklannya cacat,banyak iklannya cacat,banyak iklannya cacat,banyak iklannya cacat,"['banyak', 'iklannya', 'cacat']","['iklannya', 'cacat']","['iklannya', 'cacat']","['iklan', 'cacat']",iklan cacat
23,1,0,Kok loading bae sih bnrin dong??jwb,kok loading bae sih bnrin dong??jwb,kok loading bae sih bnrin dong  jwb,kok loading bae sih bnrin dong  jwb,kok loading bae sih bnrin dong  jwb,"['kok', 'loading', 'bae', 'sih', 'bnrin', 'dong', 'jwb']","['memuat', 'saja', 'benarkan', 'jawab']","['loading', 'bae', 'bnrin', 'jwb']","['muat', 'saja', 'benar', 'jawab']",muat saja benar jawab
24,1,0,Kalo lagunya dipotong nda usah upload nda usah ikut di video ini tuk indosiar,kalo lagunya dipotong nda usah upload nda usah ikut di video ini tuk indosiar,kalo lagunya dipotong nda usah upload nda usah ikut di video ini tuk indosiar,kalo lagunya dipotong nda usah upload nda usah ikut di video ini tuk indosiar,kalo lagunya dipotong nda usah upload nda usah ikut di video ini tuk indosiar,"['kalo', 'lagunya', 'dipotong', 'nda', 'usah', 'upload', 'nda', 'usah', 'ikut', 'di', 'video', 'ini', 'tuk', 'indosiar']","['kalo', 'lagunya', 'dipotong', 'tidak', 'mengunggah', 'tidak', 'untuk']","['kalo', 'lagunya', 'dipotong', 'nda', 'upload', 'nda', 'tuk']","['kalo', 'lagu', 'potong', 'tidak', 'unggah', 'tidak', 'untuk']",kalo lagu potong tidak unggah tidak untuk
25,1,0,Di update malah tambah jelek aplikasi nya.. ngelag terus.. tiba2 paketan di perpanjang otomatis lagi.. nyesel pokonya sih.. ditambah lagi banyak Chanel yg ga ada sekarang mah,di update malah tambah jelek aplikasi nya.. ngelag terus.. tiba2 paketan di perpanjang otomatis lagi.. nyesel pokonya sih.. ditambah lagi banyak chanel yg ga ada sekarang mah,di update malah tambah jelek aplikasi nya   ngelag terus   tiba  paketan di perpanjang otomatis lagi   nyesel pokonya sih   ditambah lagi banyak chanel yg ga ada sekarang mah,di update malah tambah jelek aplikasi nya   ngelag terus   tiba  paketan di perpanjang otomatis lagi   nyesel pokonya sih   ditambah lagi banyak chanel yg ga ada sekarang mah,di update malah tambah jelek aplikasi nya ngelag terus tiba  paketan di perpanjang otomatis lagi nyesel pokonya sih ditambah lagi banyak chanel yg ga ada sekarang mah,"['di', 'update', 'malah', 'tambah', 'jelek', 'aplikasi', 'nya', 'ngelag', 'terus', 'tiba', 'paketan', 'di', 'perpanjang', 'otomatis', 'lagi', 'nyesel', 'pokonya', 'sih', 'ditambah', 'lagi', 'banyak', 'chanel', 'yg', 'ga', 'ada', 'sekarang', 'mah']","['perbarui', 'jelek', 'aplikasi', 'tertinggal', 'paketan', 'perpanjang', 'otomatis', 'nyesel', 'pokoknya', 'ditambah', 'saluran', 'tidak']","['update', 'jelek', 'aplikasi', 'ngelag', 'paketan', 'perpanjang', 'otomatis', 'nyesel', 'pokonya', 'ditambah', 'chanel', 'ga']","['baru', 'jelek', 'aplikasi', 'tinggal', 'paket', 'panjang', 'otomatis', 'nyesel', 'pokok', 'tambah', 'salur', 'tidak']",baru jelek aplikasi tinggal paket panjang otomatis nyesel pokok tambah salur tidak
26,1,0,Live patah patah,live patah patah,live patah patah,live patah patah,live patah patah,"['live', 'patah', 'patah']","['patah', 'patah']","['patah', 'patah']","['patah', 'patah']",patah patah
27,1,0,Aplikasi Gak jelas mau nonton tayangan ulang bola malah gk ada,aplikasi gak jelas mau nonton tayangan ulang bola malah gk ada,aplikasi gak jelas mau nonton tayangan ulang bola malah gk ada,aplikasi gak jelas mau nonton tayangan ulang bola malah gk ada,aplikasi gak jelas mau nonton tayangan ulang bola malah gk ada,"['aplikasi', 'gak', 'jelas', 'mau', 'nonton', 'tayangan', 'ulang', 'bola', 'malah', 'gk', 'ada']","['aplikasi', 'tidak', 'nonton', 'tayangan', 'tidak']","['aplikasi', 'gak', 'nonton', 'tayangan', 'gk']","['aplikasi', 'tidak', 'nonton', 'tayang', 'tidak']",aplikasi tidak nonton tayang tidak
28,1,0,"Mkin d update koq mkin jelek ngebug terus butuh perbaikan jd bikin kesel nontonnya patah"" gmbrny berhentilah pdhl suara jln terus","mkin d update koq mkin jelek ngebug terus butuh perbaikan jd bikin kesel nontonnya patah"" gmbrny berhentilah pdhl suara jln terus",mkin d update koq mkin jelek ngebug terus butuh perbaikan jd bikin kesel nontonnya patah  gmbrny berhentilah pdhl suara jln terus,mkin d update koq mkin jelek ngebug terus butuh perbaikan jd bikin kesel nontonnya patah  gmbrny berhentilah pdhl suara jln terus,mkin d update koq mkin jelek ngebug terus butuh perbaikan jd bikin kesel nontonnya patah  gmbrny berhentilah pdhl suara jln terus,"['mkin', 'd', 'update', 'koq', 'mkin', 'jelek', 'ngebug', 'terus', 'butuh', 'perbaikan', 'jd', 'bikin', 'kesel', 'nontonnya', 'patah', 'gmbrny', 'berhentilah', 'pdhl', 'suara', 'jln', 'terus']","['makin', 'perbarui', 'makin', 'jelek', 'berhenti', 'butuh', 'perbaikan', 'bikin', 'kesal', 'nontonnya', 'patah', 'gambarnya', 'berhentilah', 'padahal', 'suara']","['mkin', 'update', 'mkin', 'jelek', 'ngebug', 'butuh', 'perbaikan', 'bikin', 'kesel', 'nontonnya', 'patah', 'gmbrny', 'berhentilah', 'pdhl', 'suara']","['makin', 'baru', 'makin', 'jelek', 'henti', 'butuh', 'baik', 'bikin', 'kesal', 'nontonnya', 'patah', 'gambar', 'henti', 'padahal', 'suara']",makin baru makin jelek henti butuh baik bikin kesal nontonnya patah gambar henti padahal suara
29,1,0,Ga bisa nonton padahal dah bayar,ga bisa nonton padahal dah bayar,ga bisa nonton padahal dah bayar,ga bisa nonton padahal dah bayar,ga bisa nonton padahal dah bayar,"['ga', 'bisa', 'nonton', 'padahal', 'dah', 'bayar']","['tidak', 'nonton']","['ga', 'nonton']","['tidak', 'nonton']",tidak nonton
30,1,0,Sudah berlangganan paket bola yg 1 tahun. Tapi sering eror dan tidak bisa di buka. Mendingan dulu pas masih di mola lancar jaya. Kecewa sudah berlangganan mahal2,sudah berlangganan paket bola yg 1 tahun. tapi sering eror dan tidak bisa di buka. mendingan dulu pas masih di mola lancar jaya. kecewa sudah berlangganan mahal2,sudah berlangganan paket bola yg   tahun  tapi sering eror dan tidak bisa di buka  mendingan dulu pas masih di mola lancar jaya  kecewa sudah berlangganan mahal,sudah berlangganan paket bola yg   tahun  tapi sering eror dan tidak bisa di buka  mendingan dulu pas masih di mola lancar jaya  kecewa sudah berlangganan mahal,sudah berlangganan paket bola yg tahun  tapi sering eror dan tidak bisa di buka  mendingan dulu pas masih di mola lancar jaya  kecewa sudah berlangganan mahal,"['sudah', 'berlangganan', 'paket', 'bola', 'yg', 'tahun', 'tapi', 'sering', 'eror', 'dan', 'tidak', 'bisa', 'di', 'buka', 'mendingan', 'dulu', 'pas', 'masih', 'di', 'mola', 'lancar', 'jaya', 'kecewa', 'sudah', 'berlangganan', 'mahal']","['berlangganan', 'eror', 'buka', 'mendingan', 'lancar', 'jaya', 'kecewa', 'berlangganan', 'mahal']","['berlangganan', 'eror', 'buka', 'mendingan', 'lancar', 'jaya', 'kecewa', 'berlangganan', 'mahal']","['langgan', 'eror', 'buka', 'mending', 'lancar', 'jaya', 'kecewa', 'langgan', 'mahal']",langgan eror buka mending lancar jaya kecewa langgan mahal
31,1,0,"Aplikasi sudah di uninstall tapi tagihan berlangganan tetap otomatis,merugikan sekali,ini namanya pencurian","aplikasi sudah di uninstall tapi tagihan berlangganan tetap otomatis,merugikan sekali,ini namanya pencurian",aplikasi sudah di uninstall tapi tagihan berlangganan tetap otomatis merugikan sekali ini namanya pencurian,aplikasi sudah di uninstall tapi tagihan berlangganan tetap otomatis merugikan sekali ini namanya pencurian,aplikasi sudah di uninstall tapi tagihan berlangganan tetap otomatis merugikan sekali ini namanya pencurian,"['aplikasi', 'sudah', 'di', 'uninstall', 'tapi', 'tagihan', 'berlangganan', 'tetap', 'otomatis', 'merugikan', 'sekali', 'ini', 'namanya', 'pencurian']","['aplikasi', 'lepas pemasangan', 'tagihan', 'berlangganan', 'otomatis', 'merugikan', 'namanya', 'pencurian']","['aplikasi', 'uninstall', 'tagihan', 'berlangganan', 'otomatis', 'merugikan', 'namanya', 'pencurian']","['aplikasi', 'lepas pasang', 'tagih', 'langgan', 'otomatis', 'rugi', 'nama', 'curi']",aplikasi lepas pasang tagih langgan otomatis rugi nama curi
32,1,0,Berbayar semua,berbayar semua,berbayar semua,berbayar semua,berbayar semua,"['berbayar', 'semua']",['berbayar'],['berbayar'],['bayar'],bayar
33,1,0,Ini gimana sih padahal udah bayar premier tpy gk bisa nonton,ini gimana sih padahal udah bayar premier tpy gk bisa nonton,ini gimana sih padahal udah bayar premier tpy gk bisa nonton,ini gimana sih padahal udah bayar premier tpy gk bisa nonton,ini gimana sih padahal udah bayar premier tpy gk bisa nonton,"['ini', 'gimana', 'sih', 'padahal', 'udah', 'bayar', 'premier', 'tpy', 'gk', 'bisa', 'nonton']","['gimana', 'udah', 'tapi', 'tidak', 'nonton']","['gimana', 'udah', 'tpy', 'gk', 'nonton']","['gimana', 'udah', 'tapi', 'tidak', 'nonton']",gimana udah tapi tidak nonton
34,1,0,BOSOK MACET²,bosok macet²,bosok macet²,bosok macet,bosok macet,"['bosok', 'macet']","['busuk', 'macet']","['bosok', 'macet']","['busuk', 'macet']",busuk macet
35,1,0,Kenapa ga ada global RCTI/MNCTV/GTV,kenapa ga ada global rcti/mnctv/gtv,kenapa ga ada global rcti mnctv gtv,kenapa ga ada global rcti mnctv gtv,kenapa ga ada global rcti mnctv gtv,"['kenapa', 'ga', 'ada', 'global', 'rcti', 'mnctv', 'gtv']","['tidak', 'mnctv', 'gtv']","['ga', 'mnctv', 'gtv']","['tidak', 'mnctv', 'gtv']",tidak mnctv gtv
36,1,0,"apk gak guna, gak bisa di play padahal udah berlangganan","apk gak guna, gak bisa di play padahal udah berlangganan",apk gak guna  gak bisa di play padahal udah berlangganan,apk gak guna  gak bisa di play padahal udah berlangganan,apk gak guna  gak bisa di play padahal udah berlangganan,"['apk', 'gak', 'guna', 'gak', 'bisa', 'di', 'play', 'padahal', 'udah', 'berlangganan']","['aplikasi', 'tidak', 'tidak', 'udah', 'berlangganan']","['apk', 'gak', 'gak', 'udah', 'berlangganan']","['aplikasi', 'tidak', 'tidak', 'udah', 'langgan']",aplikasi tidak tidak udah langgan
37,1,0,Kok disuruh berlangganan platinum saat nonton live BRI lihat 1? Kan sudah ada iklan di aplikasi,kok disuruh berlangganan platinum saat nonton live bri lihat 1? kan sudah ada iklan di aplikasi,kok disuruh berlangganan platinum saat nonton live bri lihat    kan sudah ada iklan di aplikasi,kok disuruh berlangganan platinum saat nonton live bri lihat    kan sudah ada iklan di aplikasi,kok disuruh berlangganan platinum saat nonton live bri lihat kan sudah ada iklan di aplikasi,"['kok', 'disuruh', 'berlangganan', 'platinum', 'saat', 'nonton', 'live', 'bri', 'lihat', 'kan', 'sudah', 'ada', 'iklan', 'di', 'aplikasi']","['disuruh', 'berlangganan', 'nonton', 'lihat', 'iklan', 'aplikasi']","['disuruh', 'berlangganan', 'nonton', 'lihat', 'iklan', 'aplikasi']","['suruh', 'langgan', 'nonton', 'lihat', 'iklan', 'aplikasi']",suruh langgan nonton lihat iklan aplikasi
38,1,0,"Siaran liga Inggris jelek Banget,siarab Terlalu lama Loading😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡","siaran liga inggris jelek banget,siarab terlalu lama loading😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",siaran liga inggris jelek banget siarab terlalu lama loading😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,siaran liga inggris jelek banget siarab terlalu lama loading,siaran liga inggris jelek banget siarab terlalu lama loading,"['siaran', 'liga', 'inggris', 'jelek', 'banget', 'siarab', 'terlalu', 'lama', 'loading']","['siaran', 'inggris', 'jelek', 'siaran', 'memuat']","['siaran', 'inggris', 'jelek', 'siarab', 'loading']","['siar', 'inggris', 'jelek', 'siar', 'muat']",siar inggris jelek siar muat
